state,year,farm_number,farm_area
Alabama ,2014,7,NA
Alaska,2014,23,22583.9741
Arizona ,2014,51,14307.97248
Arkansas,2014,31,1998.785917
California ,2014,2318,419532.9826
Colorado,2014,168,68108.45811
Connecticut,2014,44,325.3743424
Delaware,2014,1,NA
Florida ,2014,152,15007.68919
Georgia ,2014,49,2789.154189
Hawaii,2014,97,5321.732092
Idaho,2014,160,54717.52327
Illinois,2014,199,10223.79603
Indiana ,2014,288,9430.999595
Iowa ,2014,696,39696.88385
Kansas,2014,86,10578.71307
Kentucky,2014,NA,NA
Louisiana,2014,10,770.1335492
Maine,2014,466,18716.71388
Maryland,2014,76,4739.781465
Massachusetts ,2014,139,2683.528936
Michigan,2014,414,30441.92635
Minnesota,2014,584,55824.7673
Mississippi,2014,11,8.498583569
Missouri,2014,229,16503.4399
Montana ,2014,164,104967.6244
Nebraska,2014,165,56412.78834
Nevada,2014,31,7233.508701
New Hampshire ,2014,153,3976.123027
New Jersey ,2014,68,852.6912181
New Mexico ,2014,99,24027.51922
New York,2014,750,62356.13112
North Carolina,2014,101,7445.568596
North Dakota,2014,119,41740.99555
Ohio ,2014,552,29616.34966
Oklahoma,2014,37,5166.329421
Oregon,2014,513,89541.07649
Pennsylvania,2014,753,36498.17887
Rhode Island,2014,15,74.8684743
South Carolina,2014,27,1053.014974
South Dakota,2014,87,39076.08256
Tennessee,2014,14,356.131121
Texas,2014,333,78854.71469
Utah ,2014,37,23118.57548
Vermont ,2014,492,39667.74585
Virginia,2014,51,8347.632537
Washington ,2014,704,36394.1724
West Virginia ,2014,10,NA
Wisconsin,2014,1435,93607.85107
Wyoming ,2014,57,53811.81708
Alabama ,2015,14,2728.45002
Alaska,2015,9,281494.1319
Arizona ,2015,58,11073.65439
Arkansas,2015,56,8979.360583
California ,2015,2500,489211.6552
Colorado,2015,208,85832.0518
Connecticut,2015,48,376.3658438
Delaware,2015,1,NA
Florida ,2015,185,14350.0607
Georgia ,2015,59,3970.861999
Hawaii,2015,100,#VALUE!
Idaho,2015,183,54415.21651
Illinois,2015,218,13599.75718
Indiana ,2015,397,13619.18252
Iowa ,2015,840,45643.46418
Kansas,2015,99,14965.60097
Kentucky,2015,132,4868.069607
Louisiana,2015,13,793.2011331
Maine,2015,531,20752.73169
Maryland,2015,78,4704.168353
Massachusetts ,2015,133,2921.084581
Michigan,2015,483,33840.14569
Minnesota,2015,659,68431.40429
Mississippi,2015,21,1676.64913
Missouri,2015,308,21413.59773
Montana ,2015,194,109694.8604
Nebraska,2015,178,45386.8879
Nevada,2015,31,5611.493323
New Hampshire ,2015,139,3869.283691
New Jersey ,2015,72,868.4743019
New Mexico ,2015,103,23154.18859
New York,2015,845,74900.84986
North Carolina,2015,180,29135.16795
North Dakota,2015,131,42876.56819
Ohio ,2015,608,32279.64387
Oklahoma,2015,47,5054.229057
Oregon,2015,456,90254.95751
Pennsylvania,2015,836,38689.19466
Rhode Island,2015,19,49.77741805
South Carolina,2015,47,4013.759611
South Dakota,2015,99,32694.86038
Tennessee,2015,18,536.6248482
Texas,2015,420,123416.8353
Utah ,2015,41,28110.48159
Vermont ,2015,493,47460.1376
Virginia,2015,77,10030.75678
Washington ,2015,726,38560.09713
West Virginia ,2015,9,930.7972481
Wisconsin,2015,1684,113562.1206
Wyoming ,2015,65,55131.93039
