factor,year,number,,
Regulatory problems,2007,"3,575",,
Price issues,2007,"1,028",,
Production problems,2007,"1,913",,
Market access,2007,872,,
Management issues,2007,"1,104",,
Other,2007,"1,123",,
Regulatory problems,2012,"3,929",,
Price issues,2012,847,,
Production problems,2012,"2,356",,
Market access,2012,667,,
Management issues,2012,"1,368",,
Other,2012,"2,113",,
Regulatory problems,2017,"7,690",,
Price issues,2017,"5,423",,
Production problems,2017,"5,551",,
Market access,2017,"4,204",,
Management issues,2017,"3,916",,
Other,2017,"3,024",,
