,1997,2007,2012,2014,2015,2017
California ,41627.12551,190648.9879,278205.668,419702.834,489409.7166,390792.3077
Alaska ,70522.26721,178.5425101,152.2267206,22593.11741,281608.0972,
Wyoming,30.36437247,274148.583,52025.10121,53833.60324,55154.25101,52658.70445
Montana ,32434.0081,115174.8988,128714.5749,105010.1215,109739.2713,144017.4089
New York ,10412.14575,68189.47368,86113.76518,62381.37652,74931.17409,130802.0243
Texas ,12502.02429,127238.4615,51270.8502,78886.63968,123466.8016,99719.4332
Wisconsin,19280.16194,79191.49798,92552.63158,93645.74899,113608.0972,101595.1417
Colorado,104806.8826,62340.48583,46605.66802,68136.03239,85866.80162,67813.76518
Nebraska,11825.10121,59185.4251,44755.06073,56435.62753,45405.26316,93859.51417
Oregon ,6876.11336,42755.06073,82658.2996,89577.32794,90291.49798,79370.44534
Vermont,8561.133603,31380.16194,46538.8664,39683.80567,47479.35223,82187.04453
Idaho ,45113.36032,60091.09312,50664.37247,54739.67611,54437.24696,73170.8502
Minnesota ,25783.40081,49565.9919,53859.51417,55847.36842,68459.10931,70027.53036
North Dakota,36757.08502,61833.19838,54506.88259,41757.89474,42893.92713,45952.22672
Utah,8184.210526,58391.90283,48759.91903,23127.93522,28121.86235,38295.95142
Iowa ,14481.37652,38286.63968,39452.63158,39712.95547,45661.94332,54125.91093
South Dakota ,13084.61538,53460.32389,31725.91093,39091.90283,32708.09717,29616.59919
Michigan ,6786.234818,27597.97571,23516.19433,30454.25101,33853.84615,49495.1417
New Mexico  ,10710.52632,47642.10526,13939.67611,24037.24696,23163.56275,15807.69231
Washington,4639.271255,33285.82996,29895.1417,36408.90688,38575.7085,45315.78947
Ohio ,4864.37247,25099.59514,30117.81377,29628.34008,32292.71255,45311.74089
Pennsylvania ,2636.032389,21710.12146,39521.05263,36512.95547,38704.8583,43542.51012
Nevada ,103.2388664,1681.376518,2859.919028,7236.437247,5613.765182,39622.67206
Kansas ,9843.724696,21514.17004,17052.22672,10582.99595,14971.65992,34680.16194
North Carolina ,396.7611336,3893.927126,8984.615385,7448.582996,29146.96356,17303.64372
Illinois ,4331.578947,12413.76518,16621.05263,10227.93522,13605.26316,24570.04049
Maine ,2737.246964,11443.31984,23661.1336,18724.2915,20761.1336,22372.87449
Missouri ,3360.323887,12224.69636,20008.50202,16510.12146,21422.26721,20717.00405
Florida ,13257.08502,3270.850202,7839.676113,15013.76518,14355.87045,7251.821862
Arizona ,3919.433198,8501.214575,7210.526316,14313.76518,11078.13765,10808.90688
Indiana ,807.2874494,5270.850202,10646.96356,9434.817814,13624.69636,
Oklahoma ,1616.194332,11980.16194,4448.582996,5168.421053,5056.275304,6503.238866
Virginia,1787.854251,4982.995951,11502.83401,8351.012146,10034.81781,11476.51822
Arkansas ,403.6437247,2553.441296,328.340081,1999.595142,8982.995951,8505.668016
Kentucky ,2293.927126,2740.080972,2909.716599,,4870.040486,7894.331984
Maryland ,665.9919028,3705.263158,5672.469636,4741.700405,4706.072874,6961.94332
Hawaii  ,240.8906883,4272.874494,1419.02834,5323.88664,,1129.554656
New Hampshire ,107.2874494,3419.838057,3255.060729,3977.732794,3870.850202,4740.080972
South Carolina,16.59919028,414.9797571,1088.663968,1053.441296,4015.384615,1945.748988
Georgia ,231.5789474,1836.032389,3637.246964,2790.283401,3972.469636,2882.591093
Mississippi ,,545.7489879,1134.412955,8.502024291,1677.327935,3597.975709
Massachusetts,459.1093117,1782.591093,3255.870445,2684.615385,2922.267206,3307.692308
Alabama ,0.4048583,438.0566802,625.5060729,,2729.554656,879.3522267
Tennessee ,546.9635628,809.7165992,1484.615385,356.2753036,536.8421053,2023.076923
Louisana ,150.2024291,870.8502024,1742.105263,770.4453441,793.5222672,1353.036437
New Jersey ,540.0809717,1347.773279,1077.327935,853.0364372,868.8259109,1593.927126
West Virginia ,296.7611336,790.6882591,858.2995951,,931.1740891,1236.437247
Connecticut ,431.5789474,454.2510121,1044.939271,325.5060729,376.5182186,728.7449393
Delaware ,66.80161943,104.8582996,103.6437247,,,214.9797571
Rhode Island ,53.44129555,82.99595142,31.57894737,74.89878543,49.79757085,59.91902834
